iter	RMSE
0	0.9565808388
1	0.9054682749
2	0.8576812114
3	0.8100962681
4	0.7668725339
5	0.7304464055
6	0.682351884
7	0.6475791621
8	0.6148350215
9	0.5821429281
10	0.5532470898
11	0.5348243855
12	0.5066581475
13	0.4836087863
14	0.4595177845
15	0.4338667204
16	0.4133600503
17	0.3952914969
18	0.3794825174
19	0.3656920312
20	0.3493235962
21	0.3397766202
22	0.327175553
23	0.3149382679
24	0.3024698557
25	0.2920655955
26	0.2870507305
27	0.2740831516
28	0.262757828
29	0.2538153864
30	0.2435593993
31	0.235898347
32	0.226389661
33	0.2210107092
34	0.2144301058
35	0.2079306277
36	0.2007276382
37	0.1931287611
38	0.1877633481
39	0.183434119
40	0.1777140985
41	0.17161836
42	0.1680277865
43	0.1655128237
44	0.1615123846
45	0.1586675035
46	0.1549805253
47	0.1507711496
48	0.147328806
49	0.1446958295
