week,store_id,units_sold
2022-01-03,ST01,215
2022-01-10,ST01,198
2022-01-17,ST01,206
2022-01-24,ST01,207
2022-01-31,ST01,224
2022-02-07,ST01,221
2022-02-14,ST01,234
2022-02-21,ST01,206
2022-02-28,ST01,250
2022-03-07,ST01,232
2022-03-14,ST01,243
2022-03-21,ST01,234
2022-03-28,ST01,232
2022-04-04,ST01,242
2022-04-11,ST01,246
2022-04-18,ST01,233
2022-04-25,ST01,232
2022-05-02,ST01,239
2022-05-09,ST01,218
2022-05-16,ST01,207
2022-05-23,ST01,226
2022-05-30,ST01,210
2022-06-06,ST01,190
2022-06-13,ST01,199
2022-06-20,ST01,198
2022-06-27,ST01,184
2022-07-04,ST01,176
2022-07-11,ST01,189
2022-07-18,ST01,194
2022-07-25,ST01,176
2022-08-01,ST01,165
2022-08-08,ST01,174
2022-08-15,ST01,174
2022-08-22,ST01,158
2022-08-29,ST01,165
2022-09-05,ST01,169
2022-09-12,ST01,151
2022-09-19,ST01,142
2022-09-26,ST01,155
2022-10-03,ST01,154
2022-10-10,ST01,164
2022-10-17,ST01,136
2022-10-24,ST01,144
2022-10-31,ST01,144
2022-11-07,ST01,136
2022-11-14,ST01,161
2022-11-21,ST01,169
2022-11-28,ST01,157
2022-12-05,ST01,186
2022-12-12,ST01,184
2022-12-19,ST01,186
2022-12-26,ST01,188
2023-01-02,ST01,199
2023-01-09,ST01,176
2023-01-16,ST01,204
2023-01-23,ST01,208
2023-01-30,ST01,184
2023-02-06,ST01,213
2023-02-13,ST01,209
2023-02-20,ST01,225
2022-01-03,ST02,229
2022-01-10,ST02,218
2022-01-17,ST02,239
2022-01-24,ST02,234
2022-01-31,ST02,244
2022-02-07,ST02,235
2022-02-14,ST02,257
2022-02-21,ST02,254
2022-02-28,ST02,247
2022-03-07,ST02,259
2022-03-14,ST02,268
2022-03-21,ST02,276
2022-03-28,ST02,236
2022-04-04,ST02,266
2022-04-11,ST02,262
2022-04-18,ST02,255
2022-04-25,ST02,243
2022-05-02,ST02,270
2022-05-09,ST02,238
2022-05-16,ST02,259
2022-05-23,ST02,266
2022-05-30,ST02,229
2022-06-06,ST02,243
2022-06-13,ST02,228
2022-06-20,ST02,244
2022-06-27,ST02,257
2022-07-04,ST02,261
2022-07-11,ST02,212
2022-07-18,ST02,224
2022-07-25,ST02,237
2022-08-01,ST02,245
2022-08-08,ST02,229
2022-08-15,ST02,213
2022-08-22,ST02,224
2022-08-29,ST02,219
2022-09-05,ST02,215
2022-09-12,ST02,208
2022-09-19,ST02,221
2022-09-26,ST02,220
2022-10-03,ST02,216
2022-10-10,ST02,215
2022-10-17,ST02,203
2022-10-24,ST02,214
2022-10-31,ST02,236
2022-11-07,ST02,221
2022-11-14,ST02,208
2022-11-21,ST02,244
2022-11-28,ST02,237
2022-12-05,ST02,259
2022-12-12,ST02,238
2022-12-19,ST02,235
2022-12-26,ST02,227
2023-01-02,ST02,263
2023-01-09,ST02,282
2023-01-16,ST02,245
2023-01-23,ST02,250
2023-01-30,ST02,268
2023-02-06,ST02,254
2023-02-13,ST02,263
2023-02-20,ST02,265
2022-01-03,ST03,250
2022-01-10,ST03,266
2022-01-17,ST03,255
2022-01-24,ST03,268
2022-01-31,ST03,243
2022-02-07,ST03,256
2022-02-14,ST03,287
2022-02-21,ST03,274
2022-02-28,ST03,291
2022-03-07,ST03,294
2022-03-14,ST03,306
2022-03-21,ST03,301
2022-03-28,ST03,305
2022-04-04,ST03,293
2022-04-11,ST03,286
2022-04-18,ST03,286
2022-04-25,ST03,289
2022-05-02,ST03,280
2022-05-09,ST03,286
2022-05-16,ST03,289
2022-05-23,ST03,291
2022-05-30,ST03,282
2022-06-06,ST03,260
2022-06-13,ST03,279
2022-06-20,ST03,280
2022-06-27,ST03,287
2022-07-04,ST03,277
2022-07-11,ST03,259
2022-07-18,ST03,255
2022-07-25,ST03,285
2022-08-01,ST03,267
2022-08-08,ST03,277
2022-08-15,ST03,278
2022-08-22,ST03,241
2022-08-29,ST03,253
2022-09-05,ST03,253
2022-09-12,ST03,253
2022-09-19,ST03,253
2022-09-26,ST03,248
2022-10-03,ST03,249
2022-10-10,ST03,230
2022-10-17,ST03,247
2022-10-24,ST03,242
2022-10-31,ST03,255
2022-11-07,ST03,251
2022-11-14,ST03,267
2022-11-21,ST03,273
2022-11-28,ST03,271
2022-12-05,ST03,276
2022-12-12,ST03,278
2022-12-19,ST03,276
2022-12-26,ST03,284
2023-01-02,ST03,285
2023-01-09,ST03,300
2023-01-16,ST03,301
2023-01-23,ST03,312
2023-01-30,ST03,294
2023-02-06,ST03,325
2023-02-13,ST03,309
2023-02-20,ST03,313
2022-01-03,ST04,278
2022-01-10,ST04,271
2022-01-17,ST04,269
2022-01-24,ST04,275
2022-01-31,ST04,304
2022-02-07,ST04,291
2022-02-14,ST04,280
2022-02-21,ST04,296
2022-02-28,ST04,280
2022-03-07,ST04,322
2022-03-14,ST04,284
2022-03-21,ST04,310
2022-03-28,ST04,311
2022-04-04,ST04,288
2022-04-11,ST04,310
2022-04-18,ST04,318
2022-04-25,ST04,312
2022-05-02,ST04,309
2022-05-09,ST04,316
2022-05-16,ST04,306
2022-05-23,ST04,307
2022-05-30,ST04,300
